section,sku_idx,sku_id,source_url,add_button_id,name,description,weight_text,price_rub,image_url,image_path,image_width,image_height,img_brightness,img_contrast,img_saturation,img_warmth,img_sharpness,image_quality_score,food_styling_score,appetite_score_data
hot,22,hot-022,https://363363.ru/hot,buttonu45287,Отбивная из курицы под ананасом,"Куриное филе, консервированные ананасы, сыр запеченный, специи",,1400.0,https://363363.ru/images/p0lpfnlhiso.jpg?crc=420564000,artifacts/sku-audit/images/hot/hot-022.jpg,260,167,153.72,51.84,122.69,1.762,51.7,5.09,6.35,5.66
hot,23,hot-023,https://363363.ru/hot,buttonu45343,Рубленное мясо «Французи»,"Мясо свинины, лук репчатый, майонез, крахмал, яйцо, соль, перец, специи",,950.0,https://363363.ru/images/rubmyaso23-crop-u45347.jpg?crc=4152744400,artifacts/sku-audit/images/hot/hot-023.jpg,251,168,157.56,53.32,120.2,1.577,60.78,5.93,6.07,5.99
hot,24,hot-024,https://363363.ru/hot,buttonu45399,Котлетки рубленные по Албански из курицы,"Куриное филе, крахмал, майонез, яйцо, зелень, соль, перец",,950.0,https://363363.ru/images/image%2070.jpg?crc=102686630,artifacts/sku-audit/images/hot/hot-024.jpg,260,174,147.63,57.94,104.34,1.408,59.84,5.97,5.37,5.7
hot,25,hot-025,https://363363.ru/hot,buttonu45443,Свинина по Барски,"Мясо свинины, маринованные огурчики, укроп, орех грецкий, сыр, чеснок",,1700.0,https://363363.ru/images/image%2070%20(1).jpg?crc=4003088691,artifacts/sku-audit/images/hot/hot-025.jpg,260,174,132.6,52.07,126.31,1.768,62.95,5.85,6.28,6.04
hot,26,hot-026,https://363363.ru/hot,buttonu45497,Баранина с овощами,"Мясо баранины, перец сладкий, томаты, лук репчатый, морковь, чеснок, приправа для мяса, капуста брокколи, соус соевый. (Подается на блюде с запеченными овощами, заказы принимаются минимум за 2 дня)",,2200.0,https://363363.ru/images/image%2070%20(2).jpg?crc=3848637433,artifacts/sku-audit/images/hot/hot-026.jpg,272,182,103.01,49.16,175.55,2.844,52.72,4.65,8.7,6.47
hot,27,hot-027,https://363363.ru/hot,buttonu45549,Бефстроганов из куриного филе,"Мясо курицы, лук репчатый, сметана , морковь, соль, перец, приправы, зелень",,950.0,https://363363.ru/images/image%2070%20(3).jpg?crc=286220854,artifacts/sku-audit/images/hot/hot-027.jpg,269,180,150.38,53.97,64.56,1.15,51.55,5.14,4.04,4.64
hot,28,hot-028,https://363363.ru/hot,buttonu45602,Азу из говядины,"Мясо говядины, картофель, морковь, лук, перец сладкий, лук репчатый, огурчики маринованные, соль, специи, укроп",,1700.0,https://363363.ru/images/image%2070%20(4).jpg?crc=388606395,artifacts/sku-audit/images/hot/hot-028.jpg,293,174,144.89,59.18,126.18,1.785,56.19,5.71,6.4,6.02
hot,29,hot-029,https://363363.ru/hot,buttonu45134,Мясо по-французски,Мясо по-французски,,1300.0,https://363363.ru/images/image%2070%20(5).jpg?crc=124109785,artifacts/sku-audit/images/hot/hot-029.jpg,251,168,172.96,49.09,109.94,1.693,60.06,5.81,6.09,5.94
hot,30,hot-030,https://363363.ru/hot,buttonu45190,Семга на пару,"Филе семги, приготовленной на пару, приправа для рыбки, соль, укроп, масло оливковое",,2950.0,https://363363.ru/images/image%2070%20(6).jpg?crc=3819116667,artifacts/sku-audit/images/hot/hot-030.jpg,251,168,198.95,50.33,38.07,1.134,57.98,5.91,3.75,4.94
hot,31,hot-031,https://363363.ru/hot,buttonu45235,Утка запеченная с яблоками,"Утка фаршированная яблоками и черносливом, маринованная со специями в апельсиновом соке, меде, клюкве",,1900.0,https://363363.ru/images/image%2070%20(7).jpg?crc=501540780,artifacts/sku-audit/images/hot/hot-031.jpg,251,168,132.02,58.63,112.61,1.539,53.23,5.34,5.62,5.47
hot,32,hot-032,https://363363.ru/hot,buttonu55070,КУРИЦА ГРИЛЬ,КУРИЦА ГРИЛЬ,,790.0,https://363363.ru/images/7ba76875cfb0a438f97f603b7b6bcfad_cropped_740x537.jpg?crc=277360809,artifacts/sku-audit/images/hot/hot-032.jpg,260,189,119.85,66.57,179.07,2.667,65.1,6.55,8.7,7.52
hot,33,hot-033,https://363363.ru/hot,buttonu55123,КУРИЦА ЖАРЕНАЯ,КУРИЦА ЖАРЕНАЯ,,750.0,https://363363.ru/images/image%2073.jpg?crc=367730933,artifacts/sku-audit/images/hot/hot-033.jpg,251,167,131.44,62.94,102.23,1.615,61.9,6.22,5.46,5.88
hot,34,hot-034,https://363363.ru/hot,buttonu55174,ГОЛЕНЬ КУРИНАЯ ЖАРЕНАЯ,ГОЛЕНЬ КУРИНАЯ ЖАРЕНАЯ,,820.0,https://363363.ru/images/kak_pozharit_kurinye_nozhki_s_korochkoy.jpg?crc=3832375862,artifacts/sku-audit/images/hot/hot-034.jpg,260,195,116.19,71.66,142.85,1.862,66.54,6.86,6.69,6.78
hot,35,hot-035,https://363363.ru/hot,buttonu55232,БЕДРО КУРИНОЕ ЖАРЕНОЕ,БЕДРО КУРИНОЕ ЖАРЕНОЕ,,700.0,https://363363.ru/images/1455965426_kak-pozharit-kurinyye-bedra.jpg?crc=155922550,artifacts/sku-audit/images/hot/hot-035.jpg,273,191,152.29,62.38,88.69,1.371,58.42,6.09,4.96,5.58
hot,36,hot-036,https://363363.ru/hot,buttonu55278,СВИНИНА ЗАПЕЧЕННАЯ С КАРТОФЕЛЕМ,СВИНИНА ЗАПЕЧЕННАЯ С КАРТОФЕЛЕМ,,1050.0,https://363363.ru/images/image%20146.jpg?crc=3784239367,artifacts/sku-audit/images/hot/hot-036.jpg,295,168,137.99,59.09,121.78,1.771,61.84,6.11,6.21,6.16
hot,37,hot-037,https://363363.ru/hot,buttonu80953,Фаршированные куриные ножки,"Филе куриное, пассированное лук, морковь на растительном масле, специи",,1200.0,https://363363.ru/images/no_product-crop-u80965.png?crc=234032600,artifacts/sku-audit/images/hot/hot-037.png,251,168,247.45,15.59,0.56,0.998,38.76,3.24,3.02,3.14
zakuski,1,zakuski-001,https://363363.ru/zakuski,buttonu21375,Канапе на выбор,"- Хлеб белый, сыр моцарела, мясо птицы п/к, помидоры черри; - Хлеб белый, сыр гауда, оливки.",,120.0,https://363363.ru/images/00000001.jpg?crc=374478272,artifacts/sku-audit/images/zakuski/zakuski-001.jpg,268,178,183.49,74.18,96.64,1.456,73.21,8.06,5.53,6.92
zakuski,2,zakuski-002,https://363363.ru/zakuski,buttonu44616,Канапе с сёмгой,"- Хлеб серый, белый, сёмга, сыр гауда, маслины, оливки.",,210.0,https://363363.ru/images/1221321321-crop-u44613.jpg?crc=229345436,artifacts/sku-audit/images/zakuski/zakuski-002.jpg,251,168,187.76,60.66,98.45,1.566,51.45,5.73,5.75,5.74
zakuski,3,zakuski-003,https://363363.ru/zakuski,buttonu21382,Ролл лаваш с семгой,Ролл лаваш с семгой,,220.0,https://363363.ru/images/00000003.jpg?crc=65147201,artifacts/sku-audit/images/zakuski/zakuski-003.jpg,251,167,202.84,59.62,72.4,1.283,76.58,7.86,4.84,6.5
zakuski,4,zakuski-004,https://363363.ru/zakuski,buttonu21399,Волованы,"- Шампиньоны с сыром маскарпоне. - Селёдка, яйцо отварное взбитое с сл. сыром; - Утиное мясо, горчичный соус, огурец мал.сол.",,110.0,https://363363.ru/images/00000004.jpg?crc=201249914,artifacts/sku-audit/images/zakuski/zakuski-004.jpg,251,167,202.4,57.81,66.01,1.273,73.84,7.56,4.67,6.26
